NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.5719031073748879
11,"Agriculture, Forestry, Fishing and Hunting",-1.0960545629196756
113000,Forestry and Logging,0.3470476030620554
113300,Logging,0.3347943249793473
115000,Support Activities for Agriculture and Forestry,-1.2120934031316635
115100,Support Activities for Crop Production,-1.399916460577193
115200,Support Activities for Animal Production,-0.13558275662323988
21,"Mining, Quarrying, and Oil and Gas Extraction",0.8309561106504085
211000,Oil and Gas Extraction,1.4723340140610508
211100,Oil and Gas Extraction,1.4880811557137343
212000,Mining (except Oil and Gas),0.5409345166362932
212100,Coal Mining,0.2944753845761893
212200,Metal Ore Mining,0.7279345273000036
212300,Nonmetallic Mineral Mining and Quarrying,0.5093013455561713
213000,Support Activities for Mining,0.5713169974711938
213100,Support Activities for Mining,0.5728544122430917
22,Utilities,1.2456443426198647
221000,Utilities,1.258135411974278
221100,"Electric Power Generation, Transmission and Distribution",1.2371945107941404
221111,Hydroelectric Power Generation,0.8566110428374747
221112,Fossil Fuel Electric Power Generation,0.9861108130593395
221113,Nuclear Electric Power Generation,1.5026733807572847
221114,Solar Electric Power Generation,1.5916756450534548
221115,Wind Electric Power Generation,1.3884150978143617
221116,Geothermal Electric Power Generation,0.48745460575074834
221117,Biomass Electric Power Generation,0.5626054287293509
221118,Other Electric Power Generation,1.3738425533863632
221200,Natural Gas Distribution,1.4638597551547694
221300,"Water, Sewage and Other Systems",0.9308786583928933
23,Construction,0.16130337795246252
236000,Construction of Buildings,0.6746962959573054
236100,Residential Building Construction,0.3655024498799836
236200,Nonresidential Building Construction,0.8753737348404782
237000,Heavy and Civil Engineering Construction,0.3025282032643569
237100,Utility System Construction,0.2425043911290788
237130,Power and Communication Line and Related Structures Construction,0.4631520877006481
237200,Land Subdivision,1.1780246379190096
237300,"Highway, Street, and Bridge Construction",0.24628326292849803
237900,Other Heavy and Civil Engineering Construction,0.6238487931986079
238000,Specialty Trade Contractors,-0.043855089747344464
238100,"Foundation, Structure, and Building Exterior Contractors",-0.34512647241857913
238110,Poured Concrete Foundation and Structure Contractors,-0.41192617559710154
238140,Masonry Contractors,-0.6938320540219696
238160,Roofing Contractors,-0.32944190411448565
238200,Building Equipment Contractors,0.14173584219635527
238210,Electrical Contractors and Other Wiring Installation Contractors,0.46675421108971926
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.06305554847031346
238290,Other Building Equipment Contractors,0.2538972140802091
238300,Building Finishing Contractors,-0.3559866399046578
238310,Drywall and Insulation Contractors,-0.44980034627372417
238320,Painting and Wall Covering Contractors,-0.7212459471346779
238900,Other Specialty Trade Contractors,-0.06016990499616982
31-33,Manufacturing,1.1040681813863968
311000,Food Manufacturing,0.12127981974130858
311100,Animal Food Manufacturing,0.5458169868738261
311200,Grain and Oilseed Milling,0.8703358369837418
311300,Sugar and Confectionery Product Manufacturing,0.28054300531735954
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.27002416901977694
311500,Dairy Product Manufacturing,0.2777364162919858
311600,Animal Slaughtering and Processing,-0.4294083550388582
311700,Seafood Product Preparation and Packaging,0.10236607783463239
311800,Bakeries and Tortilla Manufacturing,-0.060037751251638204
311900,Other Food Manufacturing,0.3360197431232216
312000,Beverage and Tobacco Product Manufacturing,0.23508495527203455
312100,Beverage Manufacturing,0.17569285366726872
312200,Tobacco Manufacturing,0.8414773711889711
313000,Textile Mills,0.6136022650804027
313100,"Fiber, Yarn, and Thread Mills",-0.00040702841913883327
313200,Fabric Mills,0.482682799901731
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.8001988166520624
314000,Textile Product Mills,0.4765057416705587
314100,Textile Furnishings Mills,0.2489316798976033
314900,Other Textile Product Mills,0.658769016702617
315000,Apparel Manufacturing,0.679463910506969
315100,Apparel Knitting Mills,-0.06215438641878099
315200,Cut and Sew Apparel Manufacturing,0.7689873556739695
315900,Apparel Accessories and Other Apparel Manufacturing,0.4771141394127295
316000,Leather and Allied Product Manufacturing,0.35228263245266594
316100,Leather and Hide Tanning and Finishing,0.0757228459436432
316200,Footwear Manufacturing,0.014365775840652597
316900,Other Leather and Allied Product Manufacturing,0.5732849876490245
321000,Wood Product Manufacturing,0.13706855864781245
321100,Sawmills and Wood Preservation,-0.10738903859901106
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",0.2335021011276972
321900,Other Wood Product Manufacturing,0.14183346147045553
322000,Paper Manufacturing,0.6864090441401882
322100,"Pulp, Paper, and Paperboard Mills",0.9074092147810598
322200,Converted Paper Product Manufacturing,0.5147246573837123
323000,Printing and Related Support Activities,0.6984314949415812
323100,Printing and Related Support Activities,0.6705992450412941
324000,Petroleum and Coal Products Manufacturing,1.360030043901086
324100,Petroleum and Coal Products Manufacturing,1.2992047785911334
325000,Chemical Manufacturing,1.34066273778038
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",1.3457211118796213
3250A2,Chemical Manufacturing (3255 and 3256 only),0.9828321292632938
325400,Pharmaceutical and Medicine Manufacturing,1.45947239122667
326000,Plastics and Rubber Products Manufacturing,0.7617352120579362
326100,Plastics Product Manufacturing,0.738507072665614
326200,Rubber Product Manufacturing,0.6657212846594586
327000,Nonmetallic Mineral Product Manufacturing,0.24072512057109277
331000,Primary Metal Manufacturing,0.7813998580961536
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.7302269113825478
331200,Steel Product Manufacturing from Purchased Steel,0.719035495960656
331300,Alumina and Aluminum Production and Processing,0.7495948236215593
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.9342205485890376
331500,Foundries,0.822884080636541
332000,Fabricated Metal Product Manufacturing,0.8979866945039228
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",1.076012981722107
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.7663409776003935
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.8893689909379259
332710,Machine Shops,0.8449052043521141
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.9134049222823525
332800,"Coating, Engraving, Heat Treating, and Allied Activities",0.43990446453629484
333000,Machinery Manufacturing,1.442735567665834
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",1.4306395429021488
333300,Commercial and Service Industry Machinery Manufacturing,1.6488316858456604
333500,Metalworking Machinery Manufacturing,1.1665212256788626
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",1.6375836772348953
334000,Computer and Electronic Product Manufacturing,1.8086392204229684
334100,Computer and Peripheral Equipment Manufacturing,1.8800545982389283
334200,Communications Equipment Manufacturing,1.7235407915682042
334300,Audio and Video Equipment Manufacturing,1.5877336633041497
334400,Semiconductor and Other Electronic Component Manufacturing,1.7506490660638283
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.733915153618216
334600,Manufacturing and Reproducing Magnetic and Optical Media,1.7521785084964028
335000,"Electrical Equipment, Appliance, and Component Manufacturing",1.3399741133034093
335100,Electric Lighting Equipment Manufacturing,1.2358601548461274
335200,Household Appliance Manufacturing,1.1317284534665748
335300,Electrical Equipment Manufacturing,1.454647454769444
335900,Other Electrical Equipment and Component Manufacturing,1.3326082520904499
336000,Transportation Equipment Manufacturing,1.4672315868004435
336100,Motor Vehicle Manufacturing,1.560457203893773
336200,Motor Vehicle Body and Trailer Manufacturing,0.8128731143478397
336300,Motor Vehicle Parts Manufacturing,1.1939879538234257
336400,Aerospace Product and Parts Manufacturing,1.7509563848827767
336500,Railroad Rolling Stock Manufacturing,1.469744112519095
336600,Ship and Boat Building,0.9297682087250755
336900,Other Transportation Equipment Manufacturing,1.070203950676784
337000,Furniture and Related Product Manufacturing,0.6097243919341191
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),0.59330307330543
337900,Other Furniture Related Product Manufacturing,0.37143290609279117
339000,Miscellaneous Manufacturing,1.3173606496796084
339100,Medical Equipment and Supplies Manufacturing,1.4885737267360262
339900,Other Miscellaneous Manufacturing,1.02947935293581
339910,Jewelry and Silverware Manufacturing,1.327161377841751
42,Wholesale Trade,0.7838194776398978
423000,"Merchant Wholesalers, Durable Goods",0.8494415093228057
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.5349900551002998
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,0.5002918272604144
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.3794925325719263
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.8693094201408497
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,0.3439544514211744
424000,"Merchant Wholesalers, Nondurable Goods",0.5337969284319583
4240A1,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",0.16413774525503108
4240A2,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",1.199604538595774
4240A3,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.3285893578408308
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.8644760521322433
424500,Farm Product Raw Material Merchant Wholesalers,-0.02658861552880628
425000,Wholesale Trade Agents and Brokers,1.165297544608664
425100,Wholesale Trade Agents and Brokers,1.1619884212105978
44-45,Retail Trade,-0.3463317184418797
441000,Motor Vehicle and Parts Dealers,0.08746954178988346
441100,Automobile Dealers,0.2409277018318113
441200,Other Motor Vehicle Dealers,0.095509702968938
441300,"Automotive Parts, Accessories, and Tire Retailers",-0.2530347392356168
444000,Building Material and Garden Equipment and Supplies Dealers,-0.4825938401059482
444100,Building Material and Supplies Dealers,-0.543616263787177
444200,Lawn and Garden Equipment and Supplies Retailers,-0.4908671544201041
445000,Food and Beverage Retailers,-0.7126229643094859
4450A1,Food and Beverage Retailers (4451 and 4452 only),-0.732389480944646
445300,"Beer, Wine, and Liquor Retailers",-0.5556361895850461
449000,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",0.10599491247955353
449100,Furniture and Home Furnishings Retailers,-0.09649043764901774
449200,Electronics and Appliance Retailers,0.3167661000482887
455000,General Merchandise Retailers,-0.649681972802404
456000,Health and Personal Care Retailers,0.2092260319453343
456100,Health and Personal Care Retailers,0.18792615513693095
456110,Pharmacies and Drug Retailers,0.2264045370728509
457000,Gasoline Stations and Fuel Dealers,-0.5488908142483583
457100,Gasoline Stations,-0.6232105070891404
457200,Fuel Dealers,0.297367213169137
458000,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",-0.09741802504263113
458100,Clothing and Clothing Accessories Retailers,-0.17376024722476077
458200,Shoe Retailers,-0.3922035301433679
458300,"Jewelry, Luggage, and Leather Goods Retailers",0.5397615174097031
459000,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",-0.1472372108135028
4590A1,Miscellaneous Store Retailers (4594 and 4595 only),-0.276347118843221
459100,"Sporting Goods, Hobby, and Musical Instrument Retailers",-0.21098154393176977
459110,Sporting Goods Retailers,-0.15298271292524443
459200,Book Retailers and News Dealers,-0.4580505261736565
459300,Florists,0.22497881789312946
459900,Other Miscellaneous Retailers,-0.04035354313969082
48-49,Transportation and Warehousing,-0.15725299873473428
481000,Air Transportation,0.06327655517289466
481100,Scheduled Air Transportation,-0.1264870503140596
481200,Nonscheduled Air Transportation,1.259703152892407
482000,Rail Transportation,0.638905100822818
482100,Rail Transportation,0.6011144815001216
483000,Water Transportation,0.9533958392460866
483100,"Deep Sea, Coastal, and Great Lakes Water Transportation",1.1148186618870277
483200,Inland Water Transportation,0.35188170819661296
484000,Truck Transportation,0.15089517497213487
485000,Transit and Ground Passenger Transportation,1.0097409436104954
485100,Urban Transit Systems,0.9160561605262441
485200,Interurban and Rural Bus Transportation,0.6282023644052084
485300,Taxi and Limousine Service,1.4108124608309867
485400,School and Employee Bus Transportation,0.5045356640406694
485500,Charter Bus Industry,0.9673311915774119
485900,Other Transit and Ground Passenger Transportation,0.9478190034265366
486000,Pipeline Transportation,1.461584854961736
486100,Pipeline Transportation of Crude Oil,1.565297974051692
486200,Pipeline Transportation of Natural Gas,1.513061211471662
486900,Other Pipeline Transportation,0.8747838902029028
487000,Scenic and Sightseeing Transportation,0.22189532281098773
487100,"Scenic and Sightseeing Transportation, Land",0.36270598731675113
487200,"Scenic and Sightseeing Transportation, Water",-0.13531157003698938
487900,"Scenic and Sightseeing Transportation, Other",0.8606292704170174
488000,Support Activities for Transportation,0.8794247916252849
488100,Support Activities for Air Transportation,0.39371061070045876
488200,Support Activities for Rail Transportation,-0.0285435833296112
488300,Support Activities for Water Transportation,-0.040652622571694955
488400,Support Activities for Road Transportation,0.08693194646038424
488500,Freight Transportation Arrangement,1.4913540716787244
488900,Other Support Activities for Transportation,0.1132276073521348
491000,Postal Service (Federal Government),-0.46468413751062004
491100,Postal Service (Federal Government),-0.458482139907071
492000,Couriers and Messengers,-0.8003212132320537
492100,Couriers and Express Delivery Services,-0.8683075603969668
492200,Local Messengers and Local Delivery,-0.260750010443583
493000,Warehousing and Storage,-0.5402752410529822
493100,Warehousing and Storage,-0.5411461468946107
51,Information,1.7430422129778655
512000,Motion Picture and Sound Recording Industries,1.412220216284091
512100,Motion Picture and Video Industries,1.376953356988526
512130,Motion Picture and Video Exhibition,-0.6976335299535548
512200,Sound Recording Industries,1.645927901756831
513000,Publishing Industries,1.873221735078911
513100,"Newspaper, Periodical, Book, and Directory Publishers",1.6800831254714719
513110,Newspaper Publishers,1.52912361438312
513200,Software Publishers,1.8988353014803692
516000,Broadcasting and Content Providers,1.8076203545205607
516100,Radio and Television Broadcasting Stations,1.7686097618963637
516110,Radio Broadcasting Stations,1.6700081808944562
516120,Television Broadcasting Stations,1.8266615252640137
516200,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",1.8780924425531786
517000,Telecommunications,1.5837410120960753
518000,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1.9734543726358833
518200,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",1.9633782537774358
519000,"Web Search Portals, Libraries, Archives, and Other Information Services",1.872731551419389
519200,"Web Search Portals, Libraries, Archives, and Other Information Services",1.862382349492309
52,Finance and Insurance,1.573865855856219
521000,Monetary Authorities-Central Bank,1.9008099195375627
521100,Monetary Authorities-Central Bank,1.8817186512574595
522000,Credit Intermediation and Related Activities,1.6172573231821223
5220A1,Credit Intermediation and Related Activities (5221 and 5223 only),1.6176868716467854
522200,Nondepository Credit Intermediation,1.6207177344133659
522290,Other Nondepository Credit Intermediation,1.576036411595197
523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1.80513493160237
524000,Insurance Carriers and Related Activities,1.4453760390695667
524100,Insurance Carriers,1.37476537405105
524114,Direct Health and Medical Insurance Carriers,1.1526341822231863
524120,"Direct Insurance (except Life, Health, and Medical) Carriers",1.730861368658839
524200,"Agencies, Brokerages, and Other Insurance Related Activities",1.4921827229501379
524210,Insurance Agencies and Brokerages,1.4965381423510218
524290,Other Insurance Related Activities,1.4108513537591596
525000,"Funds, Trusts, and Other Financial Vehicles",1.6470776516339398
