NAICS,NAICS Description,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.8432825140746255
11,"Agriculture, Forestry, Fishing and Hunting",-1.1576389599100518
113000,Forestry and Logging,-0.7277608244324033
113300,Logging,-0.6877359834012785
115000,Support Activities for Agriculture and Forestry,-1.2088346627411506
115100,Support Activities for Crop Production,-1.352488461363565
115200,Support Activities for Animal Production,-0.08232020402615224
21,"Mining, Quarrying, and Oil and Gas Extraction",0.3986834841515146
211000,Oil and Gas Extraction,1.232256580839681
211100,Oil and Gas Extraction,1.2663487422495523
212000,Mining (except Oil and Gas),0.005300648558332413
212100,Coal Mining,-0.18746819050084473
212200,Metal Ore Mining,0.18439541695984424
212300,Nonmetallic Mineral Mining and Quarrying,-0.05916351074303313
213000,Support Activities for Mining,0.10894492718646173
213100,Support Activities for Mining,0.13607345347565294
22,Utilities,0.946303056213079
221000,Utilities,0.9663829051456156
221100,"Electric Power Generation, Transmission and Distribution",0.9599324900143366
221111,Hydroelectric Power Generation,0.3931379581731744
221112,Fossil Fuel Electric Power Generation,0.43289682966422793
221113,Nuclear Electric Power Generation,1.1766186775084846
221114,Solar Electric Power Generation,1.234572668741048
221115,Wind Electric Power Generation,1.2051156926891313
221116,Geothermal Electric Power Generation,-0.22793878705067558
221117,Biomass Electric Power Generation,-0.03260385932935989
221118,Other Electric Power Generation,1.3544136034394993
221200,Natural Gas Distribution,1.1693201748689728
221300,"Water, Sewage and Other Systems",0.6691547000067015
23,Construction,-0.2554727131312986
236000,Construction of Buildings,0.3070022055093466
236100,Residential Building Construction,0.17317383438681422
236200,Nonresidential Building Construction,0.5090404155993249
237000,Heavy and Civil Engineering Construction,-0.19639111944290386
237100,Utility System Construction,-0.2647913066196748
237130,Power and Communication Line and Related Structures Construction,0.014248595643177191
237200,Land Subdivision,1.244963510378161
237300,"Highway, Street, and Bridge Construction",-0.3215762940622816
237900,Other Heavy and Civil Engineering Construction,0.13385183250531005
238000,Specialty Trade Contractors,-0.451300277388328
238100,"Foundation, Structure, and Building Exterior Contractors",-0.702224748540632
238110,Poured Concrete Foundation and Structure Contractors,-0.8362773653187641
238140,Masonry Contractors,-1.054043421005414
238160,Roofing Contractors,-0.5216406962511921
238200,Building Equipment Contractors,-0.36031822276303366
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.12565693510308812
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.5472605901348105
238290,Other Building Equipment Contractors,-0.10114131469986566
238300,Building Finishing Contractors,-0.6343399778304534
238310,Drywall and Insulation Contractors,-0.7578341108270894
238320,Painting and Wall Covering Contractors,-0.7795735359057925
238900,Other Specialty Trade Contractors,-0.5906821887213007
31-33,Manufacturing,0.7100165729966322
311000,Food Manufacturing,-0.035431980733997406
311100,Animal Food Manufacturing,0.3001756682119013
311200,Grain and Oilseed Milling,0.6086496057933576
311300,Sugar and Confectionery Product Manufacturing,0.2912626924942668
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.1013902232833794
311500,Dairy Product Manufacturing,0.07871947815095588
311600,Animal Slaughtering and Processing,-0.5652178381271671
311700,Seafood Product Preparation and Packaging,0.05652031567298959
311800,Bakeries and Tortilla Manufacturing,-0.015313590053983252
311900,Other Food Manufacturing,0.21316799487533333
312000,Beverage and Tobacco Product Manufacturing,0.22194515266988454
312100,Beverage Manufacturing,0.2296463746379159
312200,Tobacco Manufacturing,0.6467265530838632
313000,Textile Mills,0.19957906903099917
313100,"Fiber, Yarn, and Thread Mills",-0.4784595499746203
313200,Fabric Mills,0.2078831433613757
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.440579518149151
314000,Textile Product Mills,0.029004594644102884
314100,Textile Furnishings Mills,-0.18041567102950862
314900,Other Textile Product Mills,0.1425629610599797
315000,Apparel Manufacturing,0.25299412374959085
315100,Apparel Knitting Mills,-0.35912539184042275
315200,Cut and Sew Apparel Manufacturing,0.2808945236628676
315900,Apparel Accessories and Other Apparel Manufacturing,0.0052506802020179846
316000,Leather and Allied Product Manufacturing,0.008081885509126951
316100,Leather and Hide Tanning and Finishing,-0.23602400897557604
316200,Footwear Manufacturing,-0.3793190758128054
316900,Other Leather and Allied Product Manufacturing,0.20071056838180096
321000,Wood Product Manufacturing,-0.2614621432772303
321100,Sawmills and Wood Preservation,-0.5942120142346793
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.16542106052971625
321900,Other Wood Product Manufacturing,-0.19496251384224772
322000,Paper Manufacturing,0.3027886522495085
322100,"Pulp, Paper, and Paperboard Mills",0.4930289036912158
322200,Converted Paper Product Manufacturing,0.17308246278077807
323000,Printing and Related Support Activities,0.33636103724125843
323100,Printing and Related Support Activities,0.32047830878463207
324000,Petroleum and Coal Products Manufacturing,0.956689976066344
324100,Petroleum and Coal Products Manufacturing,0.9506771950487988
325000,Chemical Manufacturing,1.0854798156801537
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",1.0025458757770827
3250A2,Chemical Manufacturing (3255 and 3256 only),0.7700914151466824
325400,Pharmaceutical and Medicine Manufacturing,1.312260896260448
326000,Plastics and Rubber Products Manufacturing,0.353066527418362
326100,Plastics Product Manufacturing,0.3915098063596552
326200,Rubber Product Manufacturing,0.24029832443945773
327000,Nonmetallic Mineral Product Manufacturing,-0.3792985126263667
331000,Primary Metal Manufacturing,0.326926675734097
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.1940942840735939
331200,Steel Product Manufacturing from Purchased Steel,0.246042027733964
331300,Alumina and Aluminum Production and Processing,0.2274333044363943
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.47231522766587936
331500,Foundries,0.30708158458444285
332000,Fabricated Metal Product Manufacturing,0.3912241387283266
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.6905457036202487
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.2745431340919974
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.395259236846863
332710,Machine Shops,0.4071367302126831
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.5010906163637778
332800,"Coating, Engraving, Heat Treating, and Allied Activities",0.0599589566206008
333000,Machinery Manufacturing,0.9474291780690258
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.9625032796208927
333300,Commercial and Service Industry Machinery Manufacturing,1.2177929176223705
333500,Metalworking Machinery Manufacturing,0.6998119541362902
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",1.0787571098974376
334000,Computer and Electronic Product Manufacturing,1.441502498933675
334100,Computer and Peripheral Equipment Manufacturing,1.6768917352871335
334200,Communications Equipment Manufacturing,1.4586401947351544
334300,Audio and Video Equipment Manufacturing,1.4519641100139167
334400,Semiconductor and Other Electronic Component Manufacturing,1.3304652922368134
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.4396840449479598
334600,Manufacturing and Reproducing Magnetic and Optical Media,1.6871692095481268
335000,"Electrical Equipment, Appliance, and Component Manufacturing",0.9752785453797596
335100,Electric Lighting Equipment Manufacturing,1.0079273814855474
335200,Household Appliance Manufacturing,0.7453364820333219
335300,Electrical Equipment Manufacturing,1.0582720363694866
335900,Other Electrical Equipment and Component Manufacturing,0.9751740646940896
336000,Transportation Equipment Manufacturing,1.0102062269751653
336100,Motor Vehicle Manufacturing,1.0900722524869981
336200,Motor Vehicle Body and Trailer Manufacturing,0.24095261059006406
336300,Motor Vehicle Parts Manufacturing,0.704354408840818
336400,Aerospace Product and Parts Manufacturing,1.382878685985316
336500,Railroad Rolling Stock Manufacturing,0.9697756686969985
336600,Ship and Boat Building,0.37291533968273144
336900,Other Transportation Equipment Manufacturing,0.626514754898879
337000,Furniture and Related Product Manufacturing,0.14117350831374736
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),0.1841469925712112
337900,Other Furniture Related Product Manufacturing,0.07558004470035691
339000,Miscellaneous Manufacturing,1.0101327801876951
339100,Medical Equipment and Supplies Manufacturing,1.2341802566088695
339900,Other Miscellaneous Manufacturing,0.6123792506548277
339910,Jewelry and Silverware Manufacturing,-0.07143972752804814
42,Wholesale Trade,0.8084743228152889
423000,"Merchant Wholesalers, Durable Goods",0.8266198797030742
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.4256806257288058
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,0.37348101323447475
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.481656500127399
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.7876514801560462
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,0.3848748144234941
424000,"Merchant Wholesalers, Nondurable Goods",0.6076856213716748
4240A1,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",0.08831478672925536
4240A2,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",1.4274287295878039
4240A3,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.2663297878685791
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",1.0656355595591738
424500,Farm Product Raw Material Merchant Wholesalers,-0.19672047857350272
425000,Wholesale Trade Agents and Brokers,1.4364840899431093
425100,Wholesale Trade Agents and Brokers,1.4603350229373275
44-45,Retail Trade,0.2007746054115727
441000,Motor Vehicle and Parts Dealers,0.3272599927759863
441100,Automobile Dealers,0.5683365520496333
441200,Other Motor Vehicle Dealers,0.4162117132037084
441300,"Automotive Parts, Accessories, and Tire Retailers",-0.2816082820900483
444000,Building Material and Garden Equipment and Supplies Dealers,-0.05979404650010241
444100,Building Material and Supplies Dealers,-0.08295127484475918
444200,Lawn and Garden Equipment and Supplies Retailers,-0.03336598142499324
445000,Food and Beverage Retailers,-0.1810691323906705
4450A1,Food and Beverage Retailers (4451 and 4452 only),-0.15328619638661695
445300,"Beer, Wine, and Liquor Retailers",0.35798641464165015
449000,"Furniture, Home Furnishings, Electronics, and Appliance Retailers",0.6338651502561126
449100,Furniture and Home Furnishings Retailers,0.37372225082214283
449200,Electronics and Appliance Retailers,0.9030422662637333
455000,General Merchandise Retailers,-0.1023711314927217
456000,Health and Personal Care Retailers,0.8269623359811079
456100,Health and Personal Care Retailers,0.8083335466103396
456110,Pharmacies and Drug Retailers,0.8002778237773168
457000,Gasoline Stations and Fuel Dealers,0.2387315240781715
457100,Gasoline Stations,0.21472478100389691
457200,Fuel Dealers,-0.0498506960822745
458000,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",0.8475291004801204
458100,Clothing and Clothing Accessories Retailers,0.8215618759600203
458200,Shoe Retailers,0.9070229407115615
458300,"Jewelry, Luggage, and Leather Goods Retailers",0.7218936287918369
459000,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",0.5817014235444888
4590A1,Miscellaneous Store Retailers (4594 and 4595 only),0.3941114990154714
459100,"Sporting Goods, Hobby, and Musical Instrument Retailers",0.7354522723175017
459110,Sporting Goods Retailers,0.7060401772920701
459200,Book Retailers and News Dealers,0.6535148034657611
459300,Florists,0.05360760222243687
459900,Other Miscellaneous Retailers,0.6423252420129515
48-49,Transportation and Warehousing,-0.5358435937146994
481000,Air Transportation,-0.0849854301035262
481100,Scheduled Air Transportation,-0.16441286513015452
481200,Nonscheduled Air Transportation,0.7439324935479988
482000,Rail Transportation,0.01449333405841148
482100,Rail Transportation,0.012329145150465546
483000,Water Transportation,0.7749110355955992
483100,"Deep Sea, Coastal, and Great Lakes Water Transportation",1.16008544807789
483200,Inland Water Transportation,-0.23500328463035985
484000,Truck Transportation,-0.6728546597127255
485000,Transit and Ground Passenger Transportation,0.6787958763227657
485100,Urban Transit Systems,-0.18276122613860313
485200,Interurban and Rural Bus Transportation,-0.5241054805819678
485300,Taxi and Limousine Service,1.8507577096954946
485400,School and Employee Bus Transportation,0.673688551998212
485500,Charter Bus Industry,0.02119400028057724
485900,Other Transit and Ground Passenger Transportation,0.9720550344584546
486000,Pipeline Transportation,0.9733087579382064
486100,Pipeline Transportation of Crude Oil,1.2453253935051203
486200,Pipeline Transportation of Natural Gas,0.9490450157594875
486900,Other Pipeline Transportation,0.3930035830620439
487000,Scenic and Sightseeing Transportation,0.13712227489412537
487100,"Scenic and Sightseeing Transportation, Land",0.04232230082988586
487200,"Scenic and Sightseeing Transportation, Water",-0.18551147749077546
487900,"Scenic and Sightseeing Transportation, Other",0.367138322436992
488000,Support Activities for Transportation,0.7714726733374848
488100,Support Activities for Air Transportation,0.2594477965225997
488200,Support Activities for Rail Transportation,-0.46532701453332587
488300,Support Activities for Water Transportation,-0.4231787955761721
488400,Support Activities for Road Transportation,-0.6703674121583365
488500,Freight Transportation Arrangement,1.6137281112023394
488900,Other Support Activities for Transportation,-0.022390470845265544
491000,Postal Service (Federal Government),-0.3063412001465275
491100,Postal Service (Federal Government),-0.3066009321475335
492000,Couriers and Messengers,-1.391855403819272
492100,Couriers and Express Delivery Services,-1.39238891888695
492200,Local Messengers and Local Delivery,-0.8453643659939458
493000,Warehousing and Storage,-0.930269645238125
493100,Warehousing and Storage,-0.9532101295368263
51,Information,1.7934595129220903
512000,Motion Picture and Sound Recording Industries,1.4216660412590258
512100,Motion Picture and Video Industries,1.422576943304066
512130,Motion Picture and Video Exhibition,0.13495072919373036
512200,Sound Recording Industries,1.7969981660338266
513000,Publishing Industries,2.010415050963494
513100,"Newspaper, Periodical, Book, and Directory Publishers",1.8987208223408205
513110,Newspaper Publishers,1.7468478049894083
513200,Software Publishers,1.9917971431628487
516000,Broadcasting and Content Providers,1.8402602368235237
516100,Radio and Television Broadcasting Stations,1.8030587262727422
516110,Radio Broadcasting Stations,1.8837458572823422
516120,Television Broadcasting Stations,1.797352326704685
