NAICS,NAICS Description,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.40580378159846503
11,"Agriculture, Forestry, Fishing and Hunting",-1.1251213158779163
113000,Forestry and Logging,-0.717794499256533
113300,Logging,-0.7525717402503347
115000,Support Activities for Agriculture and Forestry,-1.149114564698551
115100,Support Activities for Crop Production,-1.227021732896025
115200,Support Activities for Animal Production,-0.19006507358053837
21,"Mining, Quarrying, and Oil and Gas Extraction",0.09342068715270466
211000,Oil and Gas Extraction,0.7120915305555348
211100,Oil and Gas Extraction,0.7362343041023653
212000,Mining (except Oil and Gas),-0.2063750971417643
212100,Coal Mining,-0.3560350057304456
212200,Metal Ore Mining,-0.05187758998725449
212300,Nonmetallic Mineral Mining and Quarrying,-0.2542513714785719
213000,Support Activities for Mining,-0.13193305164486605
213100,Support Activities for Mining,-0.09527446250454934
22,Utilities,0.5018097350748193
221000,Utilities,0.48057113453192624
221100,"Electric Power Generation, Transmission and Distribution",0.4722729678579314
221111,Hydroelectric Power Generation,0.10757414230934295
221112,Fossil Fuel Electric Power Generation,0.15368494450528838
221113,Nuclear Electric Power Generation,0.6790989585828038
221114,Solar Electric Power Generation,0.7266422138955386
221115,Wind Electric Power Generation,0.6876809501564589
221116,Geothermal Electric Power Generation,-0.36128236560317
221117,Biomass Electric Power Generation,-0.23149648833574288
221118,Other Electric Power Generation,0.7592792050871986
221200,Natural Gas Distribution,0.6251110631291078
221300,"Water, Sewage and Other Systems",0.30307637764713197
23,Construction,-0.3960003625685226
236000,Construction of Buildings,0.057802488744406105
236100,Residential Building Construction,-0.067871635279691
236200,Nonresidential Building Construction,0.1727632593614497
237000,Heavy and Civil Engineering Construction,-0.3306255913626437
237100,Utility System Construction,-0.38353601256716124
237130,Power and Communication Line and Related Structures Construction,-0.17725124327061237
237200,Land Subdivision,0.7386970322618229
237300,"Highway, Street, and Bridge Construction",-0.46334513131374677
237900,Other Heavy and Civil Engineering Construction,-0.08710502145745386
238000,Specialty Trade Contractors,-0.5558394818028684
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6964564507943836
238110,Poured Concrete Foundation and Structure Contractors,-0.7962823119674314
238140,Masonry Contractors,-1.0599663111875937
238160,Roofing Contractors,-0.5331041889923686
238200,Building Equipment Contractors,-0.4531089121743009
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.3107027290393405
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.6054877503543735
238290,Other Building Equipment Contractors,-0.26587940264788384
238300,Building Finishing Contractors,-0.6353266208839207
238310,Drywall and Insulation Contractors,-0.8012152182204257
