NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.9737575411911138
11,"Agriculture, Forestry, Fishing and Hunting",-1.039486059126106
113000,Forestry and Logging,0.6924101380633565
113300,Logging,0.7271182576955002
115000,Support Activities for Agriculture and Forestry,-1.1993206518627073
115100,Support Activities for Crop Production,-1.345250192977847
115200,Support Activities for Animal Production,0.06408737851972765
21,"Mining, Quarrying, and Oil and Gas Extraction",1.2768701636544608
211000,Oil and Gas Extraction,2.0062092193836953
211100,Oil and Gas Extraction,2.0154077127354957
212000,Mining (except Oil and Gas),0.913731799868786
212100,Coal Mining,0.7005529687655018
212200,Metal Ore Mining,1.1866055081220657
212300,Nonmetallic Mineral Mining and Quarrying,0.8936211245112485
213000,Support Activities for Mining,0.8945979702180763
213100,Support Activities for Mining,0.9427147913997915
22,Utilities,1.7847808622660801
221000,Utilities,1.7358951076759084
221100,"Electric Power Generation, Transmission and Distribution",1.7090674413110605
221111,Hydroelectric Power Generation,1.2990644608612716
221112,Fossil Fuel Electric Power Generation,1.4566223444125377
221113,Nuclear Electric Power Generation,2.043134961986796
221114,Solar Electric Power Generation,2.1652970273982484
221115,Wind Electric Power Generation,1.9033673744534136
221116,Geothermal Electric Power Generation,0.8694461160071588
221117,Biomass Electric Power Generation,0.9389733602737819
221118,Other Electric Power Generation,1.9208094374166211
221200,Natural Gas Distribution,2.034982823793137
221300,"Water, Sewage and Other Systems",1.3923926162619762
23,Construction,0.41899798237769137
236000,Construction of Buildings,1.0878670274334155
236100,Residential Building Construction,0.7357968842980493
236200,Nonresidential Building Construction,1.342340024626319
237000,Heavy and Civil Engineering Construction,0.5954415045975215
237100,Utility System Construction,0.4857210908436896
237130,Power and Communication Line and Related Structures Construction,0.834150425863723
237200,Land Subdivision,1.7218192652120285
237300,"Highway, Street, and Bridge Construction",0.5850242065547866
237900,Other Heavy and Civil Engineering Construction,1.0142637896407165
238000,Specialty Trade Contractors,0.21130648894865436
238100,"Foundation, Structure, and Building Exterior Contractors",-0.08631859473865289
238110,Poured Concrete Foundation and Structure Contractors,-0.23378887881040528
238140,Masonry Contractors,-0.5827752673842079
238160,Roofing Contractors,-0.1607306487059234
238200,Building Equipment Contractors,0.3807697029227284
238210,Electrical Contractors and Other Wiring Installation Contractors,0.8099329939388934
238220,"Plumbing, Heating, and Air-Conditioning Contractors",0.13604014850133173
238290,Other Building Equipment Contractors,0.6404826822335342
238300,Building Finishing Contractors,-0.17879361121538268
238310,Drywall and Insulation Contractors,-0.3041001814160787
238320,Painting and Wall Covering Contractors,-0.5473494736752247
238900,Other Specialty Trade Contractors,0.20104173425216174
31-33,Manufacturing,1.5369018369211898
311000,Food Manufacturing,0.33841104546058715
311100,Animal Food Manufacturing,0.9821344982817871
311200,Grain and Oilseed Milling,1.3047955216363596
311300,Sugar and Confectionery Product Manufacturing,0.6382565338346111
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.5873718015757587
311500,Dairy Product Manufacturing,0.6254849300416824
311600,Animal Slaughtering and Processing,-0.25667110867338794
311700,Seafood Product Preparation and Packaging,0.4047523082276946
311800,Bakeries and Tortilla Manufacturing,0.1917238253861855
311900,Other Food Manufacturing,0.7132990594180394
312000,Beverage and Tobacco Product Manufacturing,0.46962219189596693
312100,Beverage Manufacturing,0.4051972582192135
312200,Tobacco Manufacturing,1.2698145429147225
313000,Textile Mills,0.9118013612672902
313100,"Fiber, Yarn, and Thread Mills",0.27489353502137903
313200,Fabric Mills,0.9274713791027713
313300,Textile and Fabric Finishing and Fabric Coating Mills,1.26469144270134
314000,Textile Product Mills,0.9091526001907502
314100,Textile Furnishings Mills,0.5711553377332406
314900,Other Textile Product Mills,1.0193291078463775
315000,Apparel Manufacturing,1.0987455250692706
315100,Apparel Knitting Mills,0.18844069003593286
315200,Cut and Sew Apparel Manufacturing,1.1989118201695623
315900,Apparel Accessories and Other Apparel Manufacturing,0.9115471391535119
316000,Leather and Allied Product Manufacturing,0.6646083447106783
316100,Leather and Hide Tanning and Finishing,0.40030301328180506
316200,Footwear Manufacturing,0.2366684384147541
316900,Other Leather and Allied Product Manufacturing,0.9436766520208929
321000,Wood Product Manufacturing,0.3829977345408337
321100,Sawmills and Wood Preservation,0.07021047376916911
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",0.588787754690652
321900,Other Wood Product Manufacturing,0.4388396145197283
322000,Paper Manufacturing,1.006663761957191
322100,"Pulp, Paper, and Paperboard Mills",1.321146309167922
322200,Converted Paper Product Manufacturing,0.9371481818989106
323000,Printing and Related Support Activities,1.0321867511748666
323100,Printing and Related Support Activities,1.0778042785977326
324000,Petroleum and Coal Products Manufacturing,1.8746002300380238
324100,Petroleum and Coal Products Manufacturing,1.8422335937966703
325000,Chemical Manufacturing,1.851428266601477
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",1.889918375347949
3250A2,Chemical Manufacturing (3255 and 3256 only),1.47815480639484
325400,Pharmaceutical and Medicine Manufacturing,2.0319839829224176
326000,Plastics and Rubber Products Manufacturing,1.161794808071847
326100,Plastics Product Manufacturing,1.18510922637193
326200,Rubber Product Manufacturing,1.0670008214168487
327000,Nonmetallic Mineral Product Manufacturing,0.4886925750655508
331000,Primary Metal Manufacturing,1.2079676306660372
331100,Iron and Steel Mills and Ferroalloy Manufacturing,1.120758682592812
