NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.3921989634469787
11,"Agriculture, Forestry, Fishing and Hunting",-1.1240756648851216
113000,Forestry and Logging,0.20781008442408883
113300,Logging,0.21015402484773357
115000,Support Activities for Agriculture and Forestry,-1.2682773461403862
115100,Support Activities for Crop Production,-1.403582727054418
115200,Support Activities for Animal Production,-0.23871845344033965
21,"Mining, Quarrying, and Oil and Gas Extraction",0.6441519770220476
211000,Oil and Gas Extraction,1.1716091576759498
211100,Oil and Gas Extraction,1.1538078677822912
212000,Mining (except Oil and Gas),0.3284475349709574
212100,Coal Mining,0.21251774389485012
212200,Metal Ore Mining,0.5086644569851877
212300,Nonmetallic Mineral Mining and Quarrying,0.35626118843357946
213000,Support Activities for Mining,0.36536368177450407
213100,Support Activities for Mining,0.38520754257441997
22,Utilities,0.980127465195496
221000,Utilities,1.0181141074326168
221100,"Electric Power Generation, Transmission and Distribution",1.0111355349238715
221111,Hydroelectric Power Generation,0.6767244140001576
221112,Fossil Fuel Electric Power Generation,0.7547653179831979
221113,Nuclear Electric Power Generation,1.2628149598593335
221114,Solar Electric Power Generation,1.370545641256457
221115,Wind Electric Power Generation,1.1317484478704973
221116,Geothermal Electric Power Generation,0.3133475073207047
221117,Biomass Electric Power Generation,0.37355027279852604
221118,Other Electric Power Generation,1.1199397399680096
221200,Natural Gas Distribution,1.2189879155847947
221300,"Water, Sewage and Other Systems",0.6881585661188597
23,Construction,0.023215254269787225
236000,Construction of Buildings,0.47605146334197207
236100,Residential Building Construction,0.20429781832031585
236200,Nonresidential Building Construction,0.6921048213346848
237000,Heavy and Civil Engineering Construction,0.18717441247181624
237100,Utility System Construction,0.10416368023606866
237130,Power and Communication Line and Related Structures Construction,0.2822491414121656
237200,Land Subdivision,0.9541767734124224
237300,"Highway, Street, and Bridge Construction",0.09469355761346986
237900,Other Heavy and Civil Engineering Construction,0.4261701210449589
238000,Specialty Trade Contractors,-0.13704219740807488
238100,"Foundation, Structure, and Building Exterior Contractors",-0.435774601122072
238110,Poured Concrete Foundation and Structure Contractors,-0.47600802077716997
238140,Masonry Contractors,-0.7824457553782302
238160,Roofing Contractors,-0.4199968629138626
238200,Building Equipment Contractors,-0.007010020433104084
238210,Electrical Contractors and Other Wiring Installation Contractors,0.2800466885246971
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.20318174492333058
238290,Other Building Equipment Contractors,0.1043842014997241
238300,Building Finishing Contractors,-0.44394352339545146
238310,Drywall and Insulation Contractors,-0.5432190158799467
238320,Painting and Wall Covering Contractors,-0.777777764363303
238900,Other Specialty Trade Contractors,-0.17168010100026382
31-33,Manufacturing,0.8469562581224169
311000,Food Manufacturing,-0.03390670697521546
311100,Animal Food Manufacturing,0.40084120135889123
311200,Grain and Oilseed Milling,0.6915384898381713
311300,Sugar and Confectionery Product Manufacturing,0.18275245623277264
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.13904385989556342
311500,Dairy Product Manufacturing,0.1042052296489869
311600,Animal Slaughtering and Processing,-0.5576440130130491
311700,Seafood Product Preparation and Packaging,-0.012332753681848042
311800,Bakeries and Tortilla Manufacturing,-0.163827805353954
311900,Other Food Manufacturing,0.22205280133744673
312000,Beverage and Tobacco Product Manufacturing,0.10484710108222382
312100,Beverage Manufacturing,0.0496163344070418
312200,Tobacco Manufacturing,0.6762697544513063
313000,Textile Mills,0.38794254467863726
313100,"Fiber, Yarn, and Thread Mills",-0.12523752311179637
313200,Fabric Mills,0.34451055830133825
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.6184777295566858
314000,Textile Product Mills,0.3551514700090419
314100,Textile Furnishings Mills,0.07368701817577053
314900,Other Textile Product Mills,0.4636472925767398
315000,Apparel Manufacturing,0.46639581605732255
315100,Apparel Knitting Mills,-0.17694984774811046
315200,Cut and Sew Apparel Manufacturing,0.5534369357138541
315900,Apparel Accessories and Other Apparel Manufacturing,0.3248752662218222
316000,Leather and Allied Product Manufacturing,0.16513518381052697
316100,Leather and Hide Tanning and Finishing,-0.002196903263240732
316200,Footwear Manufacturing,-0.0864717911941282
316900,Other Leather and Allied Product Manufacturing,0.3803801254174881
321000,Wood Product Manufacturing,0.00013004292550001118
321100,Sawmills and Wood Preservation,-0.2475104685357466
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",0.09765595570421509
321900,Other Wood Product Manufacturing,0.06050322648370626
322000,Paper Manufacturing,0.4313217058961981
322100,"Pulp, Paper, and Paperboard Mills",0.6922337548297955
322200,Converted Paper Product Manufacturing,0.3608306378251901
323000,Printing and Related Support Activities,0.47158836702414497
323100,Printing and Related Support Activities,0.4247600324162215
324000,Petroleum and Coal Products Manufacturing,1.0926262957929662
324100,Petroleum and Coal Products Manufacturing,1.0948339699922538
325000,Chemical Manufacturing,1.0912454837935173
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",1.1100236526596232
3250A2,Chemical Manufacturing (3255 and 3256 only),0.7509291328175336
325400,Pharmaceutical and Medicine Manufacturing,1.19516064822066
326000,Plastics and Rubber Products Manufacturing,0.5739594210443741
326100,Plastics Product Manufacturing,0.5761331060979541
326200,Rubber Product Manufacturing,0.43111123051212835
327000,Nonmetallic Mineral Product Manufacturing,0.06524634590210762
331000,Primary Metal Manufacturing,0.5695321741782007
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.5250295444723497
331200,Steel Product Manufacturing from Purchased Steel,0.4597565695982557
331300,Alumina and Aluminum Production and Processing,0.553265974184484
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.7446723332790814
331500,Foundries,0.629220903880932
332000,Fabricated Metal Product Manufacturing,0.6791241572893801
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.827580095631845
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.5850197339769858
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.6710055944983205
332710,Machine Shops,0.6623865116712592
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.7056373220638712
332800,"Coating, Engraving, Heat Treating, and Allied Activities",0.30051604739512094
333000,Machinery Manufacturing,1.1760951661734576
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",1.1909304702120902
333300,Commercial and Service Industry Machinery Manufacturing,1.3636168524660048
333500,Metalworking Machinery Manufacturing,0.9661195964976337
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",1.3999724782495677
334000,Computer and Electronic Product Manufacturing,1.4726137188424748
334100,Computer and Peripheral Equipment Manufacturing,1.576714526063937
334200,Communications Equipment Manufacturing,1.4197729410668947
334300,Audio and Video Equipment Manufacturing,1.2957213733443356
334400,Semiconductor and Other Electronic Component Manufacturing,1.4714955913943781
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.5149262616880028
334600,Manufacturing and Reproducing Magnetic and Optical Media,1.4579133028382223
335000,"Electrical Equipment, Appliance, and Component Manufacturing",1.1301985194090236
335100,Electric Lighting Equipment Manufacturing,1.080489518372506
335200,Household Appliance Manufacturing,0.8813206119380156
335300,Electrical Equipment Manufacturing,1.1902928598386342
335900,Other Electrical Equipment and Component Manufacturing,1.089583930294946
336000,Transportation Equipment Manufacturing,1.177352703409265
336100,Motor Vehicle Manufacturing,1.2454613683842366
336200,Motor Vehicle Body and Trailer Manufacturing,0.6063841661097419
336300,Motor Vehicle Parts Manufacturing,0.9606345252642501
336400,Aerospace Product and Parts Manufacturing,1.4630247015169173
336500,Railroad Rolling Stock Manufacturing,1.215893449101409
336600,Ship and Boat Building,0.7125189810368698
336900,Other Transportation Equipment Manufacturing,0.8229992700162786
337000,Furniture and Related Product Manufacturing,0.4047695462439384
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),0.43319882973273216
337900,Other Furniture Related Product Manufacturing,0.22655692235409608
339000,Miscellaneous Manufacturing,1.1021997478143677
339100,Medical Equipment and Supplies Manufacturing,1.264221701058094
339900,Other Miscellaneous Manufacturing,0.7872381989180245
339910,Jewelry and Silverware Manufacturing,1.0545055649493018
42,Wholesale Trade,0.5432646605920824
423000,"Merchant Wholesalers, Durable Goods",0.621744565516971
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.3266758527920045
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,0.3360039266953532
