NAICS,NAICS Description,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.6694678946638654
11,"Agriculture, Forestry, Fishing and Hunting",-1.1430674082635908
113000,Forestry and Logging,-0.7080447968921101
113300,Logging,-0.722454198148814
115000,Support Activities for Agriculture and Forestry,-1.1983866672569838
115100,Support Activities for Crop Production,-1.2828485996109138
115200,Support Activities for Animal Production,-0.17469438404564816
21,"Mining, Quarrying, and Oil and Gas Extraction",0.22344676589377546
211000,Oil and Gas Extraction,1.0096545906624241
211100,Oil and Gas Extraction,0.9515911074149477
212000,Mining (except Oil and Gas),-0.11530965420625398
212100,Coal Mining,-0.2800844727946522
212200,Metal Ore Mining,0.04953240268889252
212300,Nonmetallic Mineral Mining and Quarrying,-0.15305207073391464
213000,Support Activities for Mining,0.033656682184093525
213100,Support Activities for Mining,0.02577668884437163
22,Utilities,0.7228008541901776
221000,Utilities,0.6907490521063625
221100,"Electric Power Generation, Transmission and Distribution",0.7171166251956412
221111,Hydroelectric Power Generation,0.22757798756884742
221112,Fossil Fuel Electric Power Generation,0.288413066319178
221113,Nuclear Electric Power Generation,0.9317080166144257
221114,Solar Electric Power Generation,1.0090827988652653
221115,Wind Electric Power Generation,0.9162793764426725
221116,Geothermal Electric Power Generation,-0.20258938101458754
221117,Biomass Electric Power Generation,-0.07770658321984514
221118,Other Electric Power Generation,1.0541018572614125
221200,Natural Gas Distribution,0.9204466603164213
221300,"Water, Sewage and Other Systems",0.43234382357557205
23,Construction,-0.29883196275741886
236000,Construction of Buildings,0.20177302893732857
236100,Residential Building Construction,-0.00619724696614871
236200,Nonresidential Building Construction,0.33839041828824956
237000,Heavy and Civil Engineering Construction,-0.27601966993364124
237100,Utility System Construction,-0.28789588099244157
237130,Power and Communication Line and Related Structures Construction,-0.06475915492603246
237200,Land Subdivision,0.9883640895683536
237300,"Highway, Street, and Bridge Construction",-0.36210933436116416
237900,Other Heavy and Civil Engineering Construction,-0.013923105639563314
238000,Specialty Trade Contractors,-0.5435164757981534
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6744015748524936
238110,Poured Concrete Foundation and Structure Contractors,-0.8306228373928516
238140,Masonry Contractors,-1.0762549190593669
238160,Roofing Contractors,-0.56149333187925
238200,Building Equipment Contractors,-0.4692711672827668
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.19612779948477116
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.5712924672582586
238290,Other Building Equipment Contractors,-0.16939817179319472
238300,Building Finishing Contractors,-0.668860693866963
238310,Drywall and Insulation Contractors,-0.8039751841937768
238320,Painting and Wall Covering Contractors,-0.7947749789368496
238900,Other Specialty Trade Contractors,-0.574029539977802
31-33,Manufacturing,0.48048648422664675
311000,Food Manufacturing,-0.13963976577552625
311100,Animal Food Manufacturing,0.17879578003509408
311200,Grain and Oilseed Milling,0.3654931813918008
311300,Sugar and Confectionery Product Manufacturing,0.20311476604792925
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.02449345896896283
311500,Dairy Product Manufacturing,-0.05772450211236487
311600,Animal Slaughtering and Processing,-0.568370863021551
311700,Seafood Product Preparation and Packaging,-0.06638946975786696
