NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.08463169807454576
11,"Agriculture, Forestry, Fishing and Hunting",-1.2001041043139553
113000,Forestry and Logging,-0.06964745684179241
113300,Logging,-0.09821483372034855
115000,Support Activities for Agriculture and Forestry,-1.3717655247431901
115100,Support Activities for Crop Production,-1.4773414839427126
115200,Support Activities for Animal Production,-0.49319201852930594
21,"Mining, Quarrying, and Oil and Gas Extraction",0.24585586249727337
211000,Oil and Gas Extraction,0.7271854510636871
211100,Oil and Gas Extraction,0.7275283053618766
212000,Mining (except Oil and Gas),0.06172098634306115
212100,Coal Mining,-0.1227006208930833
212200,Metal Ore Mining,0.17612844397712324
212300,Nonmetallic Mineral Mining and Quarrying,-0.00214222700670897
213000,Support Activities for Mining,0.021027584748813666
213100,Support Activities for Mining,0.05653098326989441
22,Utilities,0.5741490667930003
221000,Utilities,0.5659509050785182
221100,"Electric Power Generation, Transmission and Distribution",0.566420525768847
221111,Hydroelectric Power Generation,0.2872588902723068
221112,Fossil Fuel Electric Power Generation,0.363171502083215
221113,Nuclear Electric Power Generation,0.7523025429631398
221114,Solar Electric Power Generation,0.838499888306357
221115,Wind Electric Power Generation,0.6615969723005898
221116,Geothermal Electric Power Generation,-0.004539159899314237
221117,Biomass Electric Power Generation,0.05740629487827085
221118,Other Electric Power Generation,0.671518395347578
221200,Natural Gas Distribution,0.7487320148150379
221300,"Water, Sewage and Other Systems",0.3375660814289353
23,Construction,-0.19185075959582876
236000,Construction of Buildings,0.09518254116125094
236100,Residential Building Construction,-0.03232448635926678
236200,Nonresidential Building Construction,0.31467644660326854
237000,Heavy and Civil Engineering Construction,-0.11674816225635025
237100,Utility System Construction,-0.1632392798618101
237130,Power and Communication Line and Related Structures Construction,-0.020547010128038147
237200,Land Subdivision,0.49593755817565743
237300,"Highway, Street, and Bridge Construction",-0.17259221652754514
237900,Other Heavy and Civil Engineering Construction,0.07799513753884021
238000,Specialty Trade Contractors,-0.37270875777205686
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6024873796668618
238110,Poured Concrete Foundation and Structure Contractors,-0.6806484580907054
238140,Masonry Contractors,-0.9153270698766625
238160,Roofing Contractors,-0.6355776676942633
238200,Building Equipment Contractors,-0.2435460976742994
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.05174339069206271
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.4164345659815904
238290,Other Building Equipment Contractors,-0.16370462076403813
238300,Building Finishing Contractors,-0.6272667895537696
238310,Drywall and Insulation Contractors,-0.7215840546594527
238320,Painting and Wall Covering Contractors,-0.889099390179774
238900,Other Specialty Trade Contractors,-0.42214315266511865
31-33,Manufacturing,0.4163206700363456
311000,Food Manufacturing,-0.2857879244032829
311100,Animal Food Manufacturing,0.11583612898927895
311200,Grain and Oilseed Milling,0.3198362894069503
311300,Sugar and Confectionery Product Manufacturing,-0.10752219223450861
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.11515070233934399
311500,Dairy Product Manufacturing,-0.1383972179605072
311600,Animal Slaughtering and Processing,-0.6622974387342639
311700,Seafood Product Preparation and Packaging,-0.2466154780115104
311800,Bakeries and Tortilla Manufacturing,-0.39705515359265925
311900,Other Food Manufacturing,-0.0733698105238038
312000,Beverage and Tobacco Product Manufacturing,-0.1910226118970388
312100,Beverage Manufacturing,-0.2048419480237766
312200,Tobacco Manufacturing,0.28644765812522677
313000,Textile Mills,0.04943246422592472
313100,"Fiber, Yarn, and Thread Mills",-0.37540837041154174
313200,Fabric Mills,0.03656121881344258
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.2274875718985428
314000,Textile Product Mills,0.037166455057353796
314100,Textile Furnishings Mills,-0.18733407704274574
314900,Other Textile Product Mills,0.11555042866340651
315000,Apparel Manufacturing,0.15820775299811157
315100,Apparel Knitting Mills,-0.39471470450024
315200,Cut and Sew Apparel Manufacturing,0.22832737976599415
315900,Apparel Accessories and Other Apparel Manufacturing,0.027379345435875814
316000,Leather and Allied Product Manufacturing,-0.0986469580945441
316100,Leather and Hide Tanning and Finishing,-0.23419536000852853
316200,Footwear Manufacturing,-0.408109849465239
316900,Other Leather and Allied Product Manufacturing,0.0802570440981004
321000,Wood Product Manufacturing,-0.2504624943783114
321100,Sawmills and Wood Preservation,-0.42588483534702676
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.141946097661935
321900,Other Wood Product Manufacturing,-0.23019618341211648
322000,Paper Manufacturing,0.1092948101799528
322100,"Pulp, Paper, and Paperboard Mills",0.3205465223627264
322200,Converted Paper Product Manufacturing,0.04043062544693791
323000,Printing and Related Support Activities,0.1179014098836671
323100,Printing and Related Support Activities,0.11082307982656323
324000,Petroleum and Coal Products Manufacturing,0.6391772317468102
324100,Petroleum and Coal Products Manufacturing,0.6458174882815455
325000,Chemical Manufacturing,0.5881809700327045
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.6365485722373736
3250A2,Chemical Manufacturing (3255 and 3256 only),0.3787483525633533
325400,Pharmaceutical and Medicine Manufacturing,0.7193769446366729
326000,Plastics and Rubber Products Manufacturing,0.17615081825961576
326100,Plastics Product Manufacturing,0.20254678086749744
326200,Rubber Product Manufacturing,0.1191668521618242
327000,Nonmetallic Mineral Product Manufacturing,-0.18255215200584482
331000,Primary Metal Manufacturing,0.20646800953429606
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.16484455873422568
331200,Steel Product Manufacturing from Purchased Steel,0.16363232154108404
331300,Alumina and Aluminum Production and Processing,0.19762475187175949
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.3212476681031689
331500,Foundries,0.19925198264277996
332000,Fabricated Metal Product Manufacturing,0.3340414566773984
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.43946539462405704
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.2081525339568323
