NAICS,NAICS Description,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.23919505357000062
11,"Agriculture, Forestry, Fishing and Hunting",-1.0776899495698338
113000,Forestry and Logging,-0.7908938816622203
113300,Logging,-0.7776659453229878
115000,Support Activities for Agriculture and Forestry,-1.1558898062283403
115100,Support Activities for Crop Production,-1.1892656766916134
115200,Support Activities for Animal Production,-0.37677851047934613
21,"Mining, Quarrying, and Oil and Gas Extraction",-0.06209018168709719
211000,Oil and Gas Extraction,0.4623652392125135
211100,Oil and Gas Extraction,0.4611534989413177
212000,Mining (except Oil and Gas),-0.3008184785553029
212100,Coal Mining,-0.42562563894266847
212200,Metal Ore Mining,-0.1858655882207556
212300,Nonmetallic Mineral Mining and Quarrying,-0.29786488846421955
213000,Support Activities for Mining,-0.24489454625946208
213100,Support Activities for Mining,-0.2251629603501888
22,Utilities,0.3096200630568951
221000,Utilities,0.28785674270228817
221100,"Electric Power Generation, Transmission and Distribution",0.2325148067239805
221111,Hydroelectric Power Generation,-0.059406859282843824
221112,Fossil Fuel Electric Power Generation,0.009364838280733596
221113,Nuclear Electric Power Generation,0.42685902083448907
221114,Solar Electric Power Generation,0.4898169704406544
221115,Wind Electric Power Generation,0.4045932950603906
221116,Geothermal Electric Power Generation,-0.44968380310534517
221117,Biomass Electric Power Generation,-0.27842082328403256
221118,Other Electric Power Generation,0.5172682816673989
221200,Natural Gas Distribution,0.4409651778606998
221300,"Water, Sewage and Other Systems",0.1381500124858589
23,Construction,-0.5055554651992749
236000,Construction of Buildings,-0.0694669042916147
236100,Residential Building Construction,-0.2209780884565488
236200,Nonresidential Building Construction,0.03455889667246877
237000,Heavy and Civil Engineering Construction,-0.4312270211187237
237100,Utility System Construction,-0.4822740426794584
237130,Power and Communication Line and Related Structures Construction,-0.3179478927637234
237200,Land Subdivision,0.4984141119022944
237300,"Highway, Street, and Bridge Construction",-0.49589918532290606
237900,Other Heavy and Civil Engineering Construction,-0.21789459891937032
238000,Specialty Trade Contractors,-0.6324683045502641
238100,"Foundation, Structure, and Building Exterior Contractors",-0.75648582331237
238110,Poured Concrete Foundation and Structure Contractors,-0.8654488175046775
238140,Masonry Contractors,-1.0308435007567405
238160,Roofing Contractors,-0.6483423878429688
238200,Building Equipment Contractors,-0.5686403598316163
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.3640143299526432
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.6423180065534595
238290,Other Building Equipment Contractors,-0.3030753789503388
238300,Building Finishing Contractors,-0.7256639582178162
238310,Drywall and Insulation Contractors,-0.8456293887375005
238320,Painting and Wall Covering Contractors,-0.8224114432602264
238900,Other Specialty Trade Contractors,-0.7372764221584218
31-33,Manufacturing,0.12757727612300926
311000,Food Manufacturing,-0.33114939444956343
311100,Animal Food Manufacturing,-0.0994680480841755
311200,Grain and Oilseed Milling,0.047173395160129084
311300,Sugar and Confectionery Product Manufacturing,-0.08967445627404379
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.2335280384598212
311500,Dairy Product Manufacturing,-0.23214772352247717
311600,Animal Slaughtering and Processing,-0.7009683781387694
311700,Seafood Product Preparation and Packaging,-0.2682323547902908
311800,Bakeries and Tortilla Manufacturing,-0.3186240307653546
311900,Other Food Manufacturing,-0.16267842299847132
312000,Beverage and Tobacco Product Manufacturing,-0.15788607010539304
312100,Beverage Manufacturing,-0.17373753353039584
312200,Tobacco Manufacturing,0.11699636715899125
313000,Textile Mills,-0.16856116735779672
313100,"Fiber, Yarn, and Thread Mills",-0.5978343446295867
313200,Fabric Mills,-0.18033388871104025
313300,Textile and Fabric Finishing and Fabric Coating Mills,-0.00665185208289919
314000,Textile Product Mills,-0.291660445613
314100,Textile Furnishings Mills,-0.4138375171522425
314900,Other Textile Product Mills,-0.2041238169405891
315000,Apparel Manufacturing,-0.10829500138809378
315100,Apparel Knitting Mills,-0.5459685985914283
315200,Cut and Sew Apparel Manufacturing,-0.08825740011961831
315900,Apparel Accessories and Other Apparel Manufacturing,-0.31846743503905817
316000,Leather and Allied Product Manufacturing,-0.2917734747043793
316100,Leather and Hide Tanning and Finishing,-0.4618384786141481
316200,Footwear Manufacturing,-0.5733923914044624
316900,Other Leather and Allied Product Manufacturing,-0.12280139908222185
321000,Wood Product Manufacturing,-0.4921490937456912
321100,Sawmills and Wood Preservation,-0.6432855331363534
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.43439564002711223
321900,Other Wood Product Manufacturing,-0.4173256831290096
322000,Paper Manufacturing,-0.09548125173872392
322100,"Pulp, Paper, and Paperboard Mills",0.04041358338883921
322200,Converted Paper Product Manufacturing,-0.20090212355973333
323000,Printing and Related Support Activities,-0.06917373311609407
323100,Printing and Related Support Activities,-0.0679343821001906
324000,Petroleum and Coal Products Manufacturing,0.3119199899243824
324100,Petroleum and Coal Products Manufacturing,0.3155123321446439
325000,Chemical Manufacturing,0.41973406701005367
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.3077459141633295
3250A2,Chemical Manufacturing (3255 and 3256 only),0.2094654804685124
325400,Pharmaceutical and Medicine Manufacturing,0.5091178854257501
326000,Plastics and Rubber Products Manufacturing,-0.04087372095146835
326100,Plastics Product Manufacturing,-0.04435348262781635
326200,Rubber Product Manufacturing,-0.18795474593596115
327000,Nonmetallic Mineral Product Manufacturing,-0.5662461289402629
331000,Primary Metal Manufacturing,-0.11032397512152348
331100,Iron and Steel Mills and Ferroalloy Manufacturing,-0.19924101782488748
331200,Steel Product Manufacturing from Purchased Steel,-0.13198700230415678
331300,Alumina and Aluminum Production and Processing,-0.14900508356184602
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.040963734820266724
331500,Foundries,-0.04606172852057015
332000,Fabricated Metal Product Manufacturing,-0.03388357962400162
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.07191332328931901
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),-0.1237412995840114
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.06976113211069447
332710,Machine Shops,-0.04033312068839802
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.0449168187396535
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.23966206629138315
333000,Machinery Manufacturing,0.3026283241397687
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.2973725584191621
333300,Commercial and Service Industry Machinery Manufacturing,0.4580161209473948
333500,Metalworking Machinery Manufacturing,0.1085987989446763
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.3814635757067039
334000,Computer and Electronic Product Manufacturing,0.6160609195180327
334100,Computer and Peripheral Equipment Manufacturing,0.7145660828512281
334200,Communications Equipment Manufacturing,0.5974562975268651
334300,Audio and Video Equipment Manufacturing,0.5745097277148572
334400,Semiconductor and Other Electronic Component Manufacturing,0.5233558115922925
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.6190092893356013
334600,Manufacturing and Reproducing Magnetic and Optical Media,0.7729190370486854
335000,"Electrical Equipment, Appliance, and Component Manufacturing",0.3269754458188315
335100,Electric Lighting Equipment Manufacturing,0.3574304978806919
335200,Household Appliance Manufacturing,0.17147793569214176
335300,Electrical Equipment Manufacturing,0.3777432748550821
335900,Other Electrical Equipment and Component Manufacturing,0.30367798180169864
336000,Transportation Equipment Manufacturing,0.37568293097700667
336100,Motor Vehicle Manufacturing,0.4137249138009499
336200,Motor Vehicle Body and Trailer Manufacturing,-0.11014095758798677
336300,Motor Vehicle Parts Manufacturing,0.13661497748335202
336400,Aerospace Product and Parts Manufacturing,0.5493822481335583
336500,Railroad Rolling Stock Manufacturing,0.28198358973977955
336600,Ship and Boat Building,-0.0802358171717383
336900,Other Transportation Equipment Manufacturing,0.10344129826097899
337000,Furniture and Related Product Manufacturing,-0.201680984866945
3370A1,Furniture and Related Product Manufacturing (3371 and 3372 only),-0.17742248580823802
337900,Other Furniture Related Product Manufacturing,-0.2701851910446674
339000,Miscellaneous Manufacturing,0.33133696780214006
339100,Medical Equipment and Supplies Manufacturing,0.4375811149932523
339900,Other Miscellaneous Manufacturing,0.05407866807755023
339910,Jewelry and Silverware Manufacturing,-0.39030562319542483
42,Wholesale Trade,0.20023238025170384
423000,"Merchant Wholesalers, Durable Goods",0.21308119872416886
4230A1,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",-0.007335256176764041
423100,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.06257815482755882
423400,Professional and Commercial Equipment and Supplies Merchant Wholesalers,0.6136658475987371
423800,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.13991123111759382
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,-0.06584795081926488
424000,"Merchant Wholesalers, Nondurable Goods",0.044360127981115986
4240A1,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",-0.26687076696663614
4240A2,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",0.5731960639845727
4240A3,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",-0.1006628367059524
424300,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.3306194941027863
424500,Farm Product Raw Material Merchant Wholesalers,-0.45211815784209464
