 
Computer Vision
2015      298
2016      463
2017      686
2018      1027
2019      1243
2020      1662
2021      2135  
2022      2392 
2023      2885
2024      3747
2025      4674
Natural Language Processing
2015      119
2016      217
2017      329
2018      552
2019      729
2020      1137
2021      1458
2022      1651
2023      2527
2024      3551
2025      4152
Knowledge Graph
2015      92
2016      112
2017      211
2018      350
2019      532
2020      852
2021      1090
2022      1265
2023      1440
2024      1931
2025      2734
Voice Conversion
2015      5
2016      5
2017      12
2018      29
2019      52
2020      111
2021      114
2022      144
2023      152
2024      192
2025      261




