NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.09471758149335592
11,"Agriculture, Forestry, Fishing and Hunting",-1.219448962929524
113000,Forestry and Logging,-0.0967866614928503
113300,Logging,-0.0967866614928503
115000,Support Activities for Agriculture and Forestry,-1.346588216241483
115100,Support Activities for Crop Production,-1.439687707120601
115200,Support Activities for Animal Production,-0.47576413236437026
21,"Mining, Quarrying, and Oil and Gas Extraction",0.2731369961503679
211000,Oil and Gas Extraction,0.7219913383267077
211100,Oil and Gas Extraction,0.7219913383267077
212000,Mining (except Oil and Gas),0.06560767080650959
212100,Coal Mining,-0.07494761004141737
212200,Metal Ore Mining,0.19826018818285904
212300,Nonmetallic Mineral Mining and Quarrying,0.02539538418761593
213000,Support Activities for Mining,0.06896479456200279
213100,Support Activities for Mining,0.06896479456200279
22,Utilities,0.5942702766326383
221000,Utilities,0.5942702766326383
221100,"Electric Power Generation, Transmission and Distribution",0.574523704180881
221111,Hydroelectric Power Generation,0.33718354195094463
221112,Fossil Fuel Electric Power Generation,0.4011660762218311
221113,Nuclear Electric Power Generation,0.7371474082111669
221114,Solar Electric Power Generation,0.8499868350548363
221115,Wind Electric Power Generation,0.6716638905501005
221116,Geothermal Electric Power Generation,0.05916512234766966
221117,Biomass Electric Power Generation,0.11077773856648354
221118,Other Electric Power Generation,0.6898664568503394
221200,Natural Gas Distribution,0.7391995270098344
221300,"Water, Sewage and Other Systems",0.3331210905065588
23,Construction,-0.21790208826183943
236000,Construction of Buildings,0.1285287127723461
236100,Residential Building Construction,-0.07829472042801065
236200,Nonresidential Building Construction,0.2907089197412003
237000,Heavy and Civil Engineering Construction,-0.11533128137871672
237100,Utility System Construction,-0.1770525055191701
237130,Power and Communication Line and Related Structures Construction,-0.009802829186114477
237200,Land Subdivision,0.5020670161338631
237300,"Highway, Street, and Bridge Construction",-0.17233547640118108
237900,Other Heavy and Civil Engineering Construction,0.10537017545691807
238000,Specialty Trade Contractors,-0.3831470007396733
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6104521932352212
238110,Poured Concrete Foundation and Structure Contractors,-0.6799585600289012
238140,Masonry Contractors,-0.926281587790816
238160,Roofing Contractors,-0.6274007407327693
238200,Building Equipment Contractors,-0.2543977169425382
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.014423414986244398
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.4222430918780124
238290,Other Building Equipment Contractors,-0.13892648204061145
238300,Building Finishing Contractors,-0.6202060415435761
238310,Drywall and Insulation Contractors,-0.7080354492332099
238320,Painting and Wall Covering Contractors,-0.8921506709251374
238900,Other Specialty Trade Contractors,-0.40057775575350935
31-33,Manufacturing,0.4449410258319857
311000,Food Manufacturing,-0.28628024838449195
311100,Animal Food Manufacturing,0.08414467528722414
311200,Grain and Oilseed Milling,0.3042521983294752
311300,Sugar and Confectionery Product Manufacturing,-0.0989122787681753
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.1309436088688568
311500,Dairy Product Manufacturing,-0.14246287592310714
311600,Animal Slaughtering and Processing,-0.6959822151389814
311700,Seafood Product Preparation and Packaging,-0.25307573795686655
311800,Bakeries and Tortilla Manufacturing,-0.4059872183775263
311900,Other Food Manufacturing,-0.07281707829534816
312000,Beverage and Tobacco Product Manufacturing,-0.18421804966926936
312100,Beverage Manufacturing,-0.213088826668006
312200,Tobacco Manufacturing,0.28290096410150817
313000,Textile Mills,0.04985907266174155
313100,"Fiber, Yarn, and Thread Mills",-0.37580178709945816
313200,Fabric Mills,0.02414547083718867
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.25279021925991924
314000,Textile Product Mills,0.03637398451464262
314100,Textile Furnishings Mills,-0.16011938484441154
314900,Other Textile Product Mills,0.12335001695664981
315000,Apparel Manufacturing,0.1616219413476492
315100,Apparel Knitting Mills,-0.4270405065763735
315200,Cut and Sew Apparel Manufacturing,0.22539024514765432
315900,Apparel Accessories and Other Apparel Manufacturing,0.025984966914459375
316000,Leather and Allied Product Manufacturing,-0.05721693776017554
316100,Leather and Hide Tanning and Finishing,-0.2726288059380657
316200,Footwear Manufacturing,-0.2616622948316275
316900,Other Leather and Allied Product Manufacturing,0.07621079264264172
321000,Wood Product Manufacturing,-0.25071963202909375
321100,Sawmills and Wood Preservation,-0.4276164176724569
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.1763324200215978
321900,Other Wood Product Manufacturing,-0.21429394177113686
322000,Paper Manufacturing,0.12129410774343834
322100,"Pulp, Paper, and Paperboard Mills",0.29766615600668656
322200,Converted Paper Product Manufacturing,0.04115943883493639
323000,Printing and Related Support Activities,0.15020927969352182
323100,Printing and Related Support Activities,0.15020927969352182
324000,Petroleum and Coal Products Manufacturing,0.6262665967448816
324100,Petroleum and Coal Products Manufacturing,0.6262665967448816
325000,Chemical Manufacturing,0.632180320789101
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.6523553777496006
3250A2,Chemical Manufacturing (3255 and 3256 only),0.3729220010746769
325400,Pharmaceutical and Medicine Manufacturing,0.7383603638911159
326000,Plastics and Rubber Products Manufacturing,0.19836043711657791
326100,Plastics Product Manufacturing,0.2163961768622074
326200,Rubber Product Manufacturing,0.12929663393703075
327000,Nonmetallic Mineral Product Manufacturing,-0.15528802846741252
331000,Primary Metal Manufacturing,0.22004982781153012
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.1664149613277692
331200,Steel Product Manufacturing from Purchased Steel,0.1554489639764215
331300,Alumina and Aluminum Production and Processing,0.18516214586591925
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.33308633526835446
331500,Foundries,0.23326023363121484
332000,Fabricated Metal Product Manufacturing,0.2983050874991437
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.44457485193786705
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.22873739689869843
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.28862454218811145
332710,Machine Shops,0.27805488180745286
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.32221537331212313
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.008911619316199612
333000,Machinery Manufacturing,0.7112527333174159
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.70691568009729
333300,Commercial and Service Industry Machinery Manufacturing,0.8404631005166682
333500,Metalworking Machinery Manufacturing,0.5229460679492216
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.8469115008272591
334000,Computer and Electronic Product Manufacturing,0.9641481603826865
334100,Computer and Peripheral Equipment Manufacturing,1.0401308962878917
334200,Communications Equipment Manufacturing,0.9417092765846081
334300,Audio and Video Equipment Manufacturing,0.8116647113000157
334400,Semiconductor and Other Electronic Component Manufacturing,0.9350575535422624
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.9810483054194493
334600,Manufacturing and Reproducing Magnetic and Optical Media,0.9731288090262388
335000,"Electrical Equipment, Appliance, and Component Manufacturing",0.6443219755828667
335100,Electric Lighting Equipment Manufacturing,0.5907302165652896
335200,Household Appliance Manufacturing,0.5072807710661401
335300,Electrical Equipment Manufacturing,0.7188283729213251
335900,Other Electrical Equipment and Component Manufacturing,0.6277577987770477
336000,Transportation Equipment Manufacturing,0.7291601419336412
336100,Motor Vehicle Manufacturing,0.7767623151134775
336200,Motor Vehicle Body and Trailer Manufacturing,0.23410248566356615
336300,Motor Vehicle Parts Manufacturing,0.5091311135277256
336400,Aerospace Product and Parts Manufacturing,0.9357319683696906
336500,Railroad Rolling Stock Manufacturing,0.72044159168712
