NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.0857092056455786
11,"Agriculture, Forestry, Fishing and Hunting",-1.2193217383901758
113000,Forestry and Logging,-0.08418704798326881
113300,Logging,-0.08418704798326881
115000,Support Activities for Agriculture and Forestry,-1.348351088193775
115100,Support Activities for Crop Production,-1.4414989599093984
115200,Support Activities for Animal Production,-0.46838556508050244
21,"Mining, Quarrying, and Oil and Gas Extraction",0.25974878002613605
211000,Oil and Gas Extraction,0.7113068576928665
211100,Oil and Gas Extraction,0.7113068576928665
212000,Mining (except Oil and Gas),0.06335110077412813
212100,Coal Mining,-0.08084363447065573
212200,Metal Ore Mining,0.19670824786517935
212300,Nonmetallic Mineral Mining and Quarrying,0.02630097136833414
213000,Support Activities for Mining,0.05194283036193898
213100,Support Activities for Mining,0.05194283036193898
22,Utilities,0.5672559001485953
221000,Utilities,0.5672559001485953
221100,"Electric Power Generation, Transmission and Distribution",0.5439082748937368
221111,Hydroelectric Power Generation,0.28029257575294697
221112,Fossil Fuel Electric Power Generation,0.3553287326577505
221113,Nuclear Electric Power Generation,0.7489072897008111
221114,Solar Electric Power Generation,0.8378562367067912
221115,Wind Electric Power Generation,0.655275497304553
221116,Geothermal Electric Power Generation,0.009333629305167805
221117,Biomass Electric Power Generation,0.060787168078095005
221118,Other Electric Power Generation,0.662292280190023
221200,Natural Gas Distribution,0.7192239270971575
221300,"Water, Sewage and Other Systems",0.31967738934870643
23,Construction,-0.21623223845799697
236000,Construction of Buildings,0.13782469050400983
236100,Residential Building Construction,-0.071773727610171
236200,Nonresidential Building Construction,0.30216351354593735
237000,Heavy and Civil Engineering Construction,-0.1152616068362383
237100,Utility System Construction,-0.18014659425873936
237130,Power and Communication Line and Related Structures Construction,-0.015897441724595215
237200,Land Subdivision,0.5211168080460326
237300,"Highway, Street, and Bridge Construction",-0.16702916595885087
237900,Other Heavy and Civil Engineering Construction,0.1047971225145696
238000,Specialty Trade Contractors,-0.3831980813866262
238100,"Foundation, Structure, and Building Exterior Contractors",-0.6040935081007012
238110,Poured Concrete Foundation and Structure Contractors,-0.6704192861624612
238140,Masonry Contractors,-0.9191909241066137
238160,Roofing Contractors,-0.623935989777217
238200,Building Equipment Contractors,-0.25375354585267706
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.01667719365679787
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.4150169156754017
238290,Other Building Equipment Contractors,-0.14461935630033507
238300,Building Finishing Contractors,-0.6302327966156307
238310,Drywall and Insulation Contractors,-0.7018241954169535
238320,Painting and Wall Covering Contractors,-0.9058838214440171
238900,Other Specialty Trade Contractors,-0.39845021094565514
31-33,Manufacturing,0.4297814103718158
311000,Food Manufacturing,-0.28574448151257015
311100,Animal Food Manufacturing,0.07963774736131676
311200,Grain and Oilseed Milling,0.2978513295087215
311300,Sugar and Confectionery Product Manufacturing,-0.10669471778602738
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.13905778377266326
311500,Dairy Product Manufacturing,-0.1447361754413664
311600,Animal Slaughtering and Processing,-0.6940594538642769
311700,Seafood Product Preparation and Packaging,-0.2561501146266661
311800,Bakeries and Tortilla Manufacturing,-0.3811983602372118
311900,Other Food Manufacturing,-0.0791014771162824
312000,Beverage and Tobacco Product Manufacturing,-0.19114308767234428
312100,Beverage Manufacturing,-0.22051406520448225
312200,Tobacco Manufacturing,0.2770431566977713
313000,Textile Mills,0.048449832154837086
313100,"Fiber, Yarn, and Thread Mills",-0.36391019914106887
313200,Fabric Mills,0.027689024652492684
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.2544085201286893
314000,Textile Product Mills,0.03274434155715885
314100,Textile Furnishings Mills,-0.16708989038157107
314900,Other Textile Product Mills,0.12727450922913677
315000,Apparel Manufacturing,0.1472597173333017
315100,Apparel Knitting Mills,-0.4118135656188353
315200,Cut and Sew Apparel Manufacturing,0.21009219642926572
315900,Apparel Accessories and Other Apparel Manufacturing,0.03537631826409066
316000,Leather and Allied Product Manufacturing,-0.09953676831305328
316100,Leather and Hide Tanning and Finishing,-0.2619310789231599
316200,Footwear Manufacturing,-0.3454595648147055
316900,Other Leather and Allied Product Manufacturing,0.07150389639941679
321000,Wood Product Manufacturing,-0.2494419820920514
321100,Sawmills and Wood Preservation,-0.428670905764583
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.16788149523803472
321900,Other Wood Product Manufacturing,-0.2131536288686279
322000,Paper Manufacturing,0.11895478903682864
322100,"Pulp, Paper, and Paperboard Mills",0.30170209766302974
322200,Converted Paper Product Manufacturing,0.03842138474381934
323000,Printing and Related Support Activities,0.14069115621018227
323100,Printing and Related Support Activities,0.14069115621018227
324000,Petroleum and Coal Products Manufacturing,0.6223714988720567
324100,Petroleum and Coal Products Manufacturing,0.6223714988720567
325000,Chemical Manufacturing,0.6241520542447341
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.6469747530780022
3250A2,Chemical Manufacturing (3255 and 3256 only),0.3640368215888942
325400,Pharmaceutical and Medicine Manufacturing,0.7217297163331924
326000,Plastics and Rubber Products Manufacturing,0.1924911456516671
326100,Plastics Product Manufacturing,0.2113764266818622
326200,Rubber Product Manufacturing,0.11913249091831193
327000,Nonmetallic Mineral Product Manufacturing,-0.17334745221288753
331000,Primary Metal Manufacturing,0.21753093431073672
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.16565525711712675
331200,Steel Product Manufacturing from Purchased Steel,0.150677106536997
331300,Alumina and Aluminum Production and Processing,0.17864325754149538
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.33115460753183995
331500,Foundries,0.2359387649692998
332000,Fabricated Metal Product Manufacturing,0.2911456713913234
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.4361492733700935
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.2183711553537951
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.2859913613143717
332710,Machine Shops,0.2766830343435145
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.31593339684643346
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.010274580417891676
333000,Machinery Manufacturing,0.7042086762458923
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.699229240828474
333300,Commercial and Service Industry Machinery Manufacturing,0.8318504465362389
333500,Metalworking Machinery Manufacturing,0.5217634155887843
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.8407073079229677
334000,Computer and Electronic Product Manufacturing,0.9492053840441721
334100,Computer and Peripheral Equipment Manufacturing,1.0129690580626336
334200,Communications Equipment Manufacturing,0.9166362873873831
334300,Audio and Video Equipment Manufacturing,0.7906031697511203
334400,Semiconductor and Other Electronic Component Manufacturing,0.9254330643242731
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",0.9678236182347313
