NAICS,NAICS Description,Language Modeling AIIE
000001,"Cross-industry, Private Ownership only",0.22949224286957273
11,"Agriculture, Forestry, Fishing and Hunting",-1.0882026627531662
113000,Forestry and Logging,-0.7670641113128897
113300,Logging,-0.7670641113128897
115000,Support Activities for Agriculture and Forestry,-1.1269448371261308
115100,Support Activities for Crop Production,-1.2071501058250576
115200,Support Activities for Animal Production,-0.3520467855598283
21,"Mining, Quarrying, and Oil and Gas Extraction",-0.03623030557410453
211000,Oil and Gas Extraction,0.4654564555555189
211100,Oil and Gas Extraction,0.4654564555555189
212000,Mining (except Oil and Gas),-0.3107941207996282
212100,Coal Mining,-0.4350933239619667
212200,Metal Ore Mining,-0.18261019750980692
212300,Nonmetallic Mineral Mining and Quarrying,-0.34689495987324936
213000,Support Activities for Mining,-0.22638996735985942
213100,Support Activities for Mining,-0.22638996735985942
22,Utilities,0.2881427089059104
221000,Utilities,0.2881427089059104
221100,"Electric Power Generation, Transmission and Distribution",0.2605573541647797
221111,Hydroelectric Power Generation,-0.03803664502536044
221112,Fossil Fuel Electric Power Generation,-0.01065600358318491
221113,Nuclear Electric Power Generation,0.44014738874380477
221114,Solar Electric Power Generation,0.4943548233685495
221115,Wind Electric Power Generation,0.4235572847249471
221116,Geothermal Electric Power Generation,-0.4098680866733002
221117,Biomass Electric Power Generation,-0.31506703675029396
221118,Other Electric Power Generation,0.5208016103241261
221200,Natural Gas Distribution,0.4246425968746294
221300,"Water, Sewage and Other Systems",0.13256485736080378
23,Construction,-0.45999523020348654
236000,Construction of Buildings,-0.08261534074162838
236100,Residential Building Construction,-0.21042747383467053
236200,Nonresidential Building Construction,0.019145167531105834
237000,Heavy and Civil Engineering Construction,-0.42325468877929784
237100,Utility System Construction,-0.46947983679401956
237130,Power and Communication Line and Related Structures Construction,-0.3002534934989385
237200,Land Subdivision,0.4728927613322072
237300,"Highway, Street, and Bridge Construction",-0.5178440447291582
237900,Other Heavy and Civil Engineering Construction,-0.22501331862139948
238000,Specialty Trade Contractors,-0.6211088100145323
238100,"Foundation, Structure, and Building Exterior Contractors",-0.7485162889096636
238110,Poured Concrete Foundation and Structure Contractors,-0.8561057145128708
238140,Masonry Contractors,-1.038887178730784
238160,Roofing Contractors,-0.6267494075566217
238200,Building Equipment Contractors,-0.5449319929014136
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.3762654147503572
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.6715205622833349
238290,Other Building Equipment Contractors,-0.35566353444736754
238300,Building Finishing Contractors,-0.719223171658404
238310,Drywall and Insulation Contractors,-0.8231837875392489
238320,Painting and Wall Covering Contractors,-0.8347852564299223
238900,Other Specialty Trade Contractors,-0.69001057006306
31-33,Manufacturing,0.14038659806556972
311000,Food Manufacturing,-0.3265541675786329
311100,Animal Food Manufacturing,-0.0842261912436466
311200,Grain and Oilseed Milling,0.06925241297139818
311300,Sugar and Confectionery Product Manufacturing,-0.10470557086663232
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.24181064910975306
311500,Dairy Product Manufacturing,-0.26127674897069386
311600,Animal Slaughtering and Processing,-0.6787971531306534
311700,Seafood Product Preparation and Packaging,-0.27824873201849964
311800,Bakeries and Tortilla Manufacturing,-0.300492417685963
311900,Other Food Manufacturing,-0.16045274574864637
312000,Beverage and Tobacco Product Manufacturing,-0.14565476556013376
312100,Beverage Manufacturing,-0.16110537653781487
312200,Tobacco Manufacturing,0.10201308275259476
313000,Textile Mills,-0.16838438409464482
313100,"Fiber, Yarn, and Thread Mills",-0.5964758115344923
313200,Fabric Mills,-0.16299677125525622
313300,Textile and Fabric Finishing and Fabric Coating Mills,-0.0014286000634562489
