NAICS,NAICS Description,Image Generation AIIE
000001,"Cross-industry, Private Ownership only",0.08304204273256956
11,"Agriculture, Forestry, Fishing and Hunting",-1.226070943055795
113000,Forestry and Logging,-0.08846462081217746
113300,Logging,-0.08846462081217746
115000,Support Activities for Agriculture and Forestry,-1.3553199069349862
115100,Support Activities for Crop Production,-1.4475486082634457
115200,Support Activities for Animal Production,-0.48742044441472393
21,"Mining, Quarrying, and Oil and Gas Extraction",0.2638296107525142
211000,Oil and Gas Extraction,0.7132862573541627
211100,Oil and Gas Extraction,0.7132862573541627
212000,Mining (except Oil and Gas),0.06753199221581237
212100,Coal Mining,-0.07260490682509371
212200,Metal Ore Mining,0.20249269520447608
212300,Nonmetallic Mineral Mining and Quarrying,0.02924939325921459
213000,Support Activities for Mining,0.057685981671959694
213100,Support Activities for Mining,0.057685981671959694
22,Utilities,0.5785510317789616
221000,Utilities,0.5785510317789616
221100,"Electric Power Generation, Transmission and Distribution",0.5572018782628372
221111,Hydroelectric Power Generation,0.3306299554847262
221112,Fossil Fuel Electric Power Generation,0.39249022074387285
221113,Nuclear Electric Power Generation,0.7292551056719718
221114,Solar Electric Power Generation,0.8445658600617107
221115,Wind Electric Power Generation,0.661553387247833
221116,Geothermal Electric Power Generation,0.0668279493769034
221117,Biomass Electric Power Generation,0.11811559544256428
221118,Other Electric Power Generation,0.6676853066930728
221200,Natural Gas Distribution,0.7281194927075513
221300,"Water, Sewage and Other Systems",0.3227475593794202
23,Construction,-0.21206640879909702
236000,Construction of Buildings,0.14443738425163857
236100,Residential Building Construction,-0.06602685760620818
236200,Nonresidential Building Construction,0.3094631924972287
237000,Heavy and Civil Engineering Construction,-0.10986150295299772
237100,Utility System Construction,-0.17397366981218604
237130,Power and Communication Line and Related Structures Construction,-0.009770574909198587
237200,Land Subdivision,0.512362897388559
237300,"Highway, Street, and Bridge Construction",-0.1605920037262896
237900,Other Heavy and Civil Engineering Construction,0.11032346309635171
238000,Specialty Trade Contractors,-0.38028884139386965
238100,"Foundation, Structure, and Building Exterior Contractors",-0.5992188708077506
238110,Poured Concrete Foundation and Structure Contractors,-0.6644439281468189
238140,Masonry Contractors,-0.9138344141672325
238160,Roofing Contractors,-0.6186206027857186
238200,Building Equipment Contractors,-0.2527634864721133
238210,Electrical Contractors and Other Wiring Installation Contractors,-0.011625617005938973
238220,"Plumbing, Heating, and Air-Conditioning Contractors",-0.41661792441740286
238290,Other Building Equipment Contractors,-0.1371699119724448
238300,Building Finishing Contractors,-0.625625675424276
238310,Drywall and Insulation Contractors,-0.6974323138235577
238320,Painting and Wall Covering Contractors,-0.904375820456049
238900,Other Specialty Trade Contractors,-0.39368679362050035
31-33,Manufacturing,0.43455146048058846
311000,Food Manufacturing,-0.28580074001899547
311100,Animal Food Manufacturing,0.08257466544699094
311200,Grain and Oilseed Milling,0.30001118027334667
311300,Sugar and Confectionery Product Manufacturing,-0.10795551226939179
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.13705583710274022
311500,Dairy Product Manufacturing,-0.14346387034289645
311600,Animal Slaughtering and Processing,-0.6945601458438307
311700,Seafood Product Preparation and Packaging,-0.2565644110382534
311800,Bakeries and Tortilla Manufacturing,-0.38758150339649416
311900,Other Food Manufacturing,-0.0753578600491693
312000,Beverage and Tobacco Product Manufacturing,-0.1904816809491491
312100,Beverage Manufacturing,-0.22030221337004124
312200,Tobacco Manufacturing,0.2857484301651476
313000,Textile Mills,0.04970568611801147
313100,"Fiber, Yarn, and Thread Mills",-0.36358711290048173
313200,Fabric Mills,0.029015213080318427
313300,Textile and Fabric Finishing and Fabric Coating Mills,0.2550125913461879
314000,Textile Product Mills,0.032143872134562705
314100,Textile Furnishings Mills,-0.16603693054415614
314900,Other Textile Product Mills,0.1266080035220934
315000,Apparel Manufacturing,0.14602752549303047
315100,Apparel Knitting Mills,-0.4163163676185734
315200,Cut and Sew Apparel Manufacturing,0.20909416092921626
315900,Apparel Accessories and Other Apparel Manufacturing,0.033856707209144556
316000,Leather and Allied Product Manufacturing,-0.06405805761809379
316100,Leather and Hide Tanning and Finishing,-0.26287689427043565
316200,Footwear Manufacturing,-0.2519794319558414
316900,Other Leather and Allied Product Manufacturing,0.0663676735955523
321000,Wood Product Manufacturing,-0.24940313925995225
321100,Sawmills and Wood Preservation,-0.4279231370608138
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.17117986170623647
321900,Other Wood Product Manufacturing,-0.21229349881032314
322000,Paper Manufacturing,0.11945626515336107
322100,"Pulp, Paper, and Paperboard Mills",0.30336149795591577
322200,Converted Paper Product Manufacturing,0.0394009609824073
323000,Printing and Related Support Activities,0.13765840811812372
323100,Printing and Related Support Activities,0.13765840811812372
324000,Petroleum and Coal Products Manufacturing,0.6246720730511949
324100,Petroleum and Coal Products Manufacturing,0.6246720730511949
325000,Chemical Manufacturing,0.6343781560087851
3250A1,"Chemical Manufacturing (3251, 3252, 3253, and 3259 only)",0.6512309722974611
3250A2,Chemical Manufacturing (3255 and 3256 only),0.3710348087199148
325400,Pharmaceutical and Medicine Manufacturing,0.7354284792686155
326000,Plastics and Rubber Products Manufacturing,0.19807615040473103
326100,Plastics Product Manufacturing,0.21649119156153449
326200,Rubber Product Manufacturing,0.1270156515764416
327000,Nonmetallic Mineral Product Manufacturing,-0.15263178837352426
331000,Primary Metal Manufacturing,0.22002325424822905
331100,Iron and Steel Mills and Ferroalloy Manufacturing,0.16528014126846116
331200,Steel Product Manufacturing from Purchased Steel,0.15430418297442783
331300,Alumina and Aluminum Production and Processing,0.17971021041242105
331400,Nonferrous Metal (except Aluminum) Production and Processing,0.33616091096589173
331500,Foundries,0.23857697845465378
332000,Fabricated Metal Product Manufacturing,0.29505898462456853
3320A1,"Fabricated Metal Product Manufacturing (3321, 3322, 3325, 3326, and 3329 only)",0.44102058530065213
3320A2,Fabricated Metal Product Manufacturing (3323 and 3324 only),0.22358315132613313
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",0.2880573357227617
332710,Machine Shops,0.278010347956686
332720,"Turned Product and Screw, Nut, and Bolt Manufacturing",0.32000148749208074
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.009289889311997479
333000,Machinery Manufacturing,0.7083124975306087
3330A1,"Machinery Manufacturing (3331, 3332, 3334, and 3339 only)",0.7029526434114106
333300,Commercial and Service Industry Machinery Manufacturing,0.8367891195942727
333500,Metalworking Machinery Manufacturing,0.5235526278016391
