NAICS,NAICS Description,Image Generation AIIE
113300,Logging,-0.075
115100,Support Activities for Crop Production,-2.263
115200,Support Activities for Animal Production,-1.162
211100,Oil and Gas Extraction,1.115
212100,Coal Mining,-0.258
212200,Metal Ore Mining,-0.099
212300,Nonmetallic Mineral Mining and Quarrying,-0.385
213100,Support Activities for Mining,-0.501
221100,"Electric Power Generation, Transmission and Distribution",0.704
221200,Natural Gas Distribution,0.733
221300,"Water, Sewage and Other Systems",0.109
236100,Residential Building Construction,-0.559
236200,Nonresidential Building Construction,-0.227
237100,Utility System Construction,-0.709
237200,Land Subdivision,0.817
237300,"Highway, Street, and Bridge Construction",-0.78
237900,Other Heavy and Civil Engineering Construction,-0.598
238100,"Foundation, Structure, and Building Exterior Contractors",-1.603
238200,Building Equipment Contractors,-0.238
238300,Building Finishing Contractors,-1.49
238900,Other Specialty Trade Contractors,-0.922
311100,Animal Food Manufacturing,-0.586
311200,Grain and Oilseed Milling,-0.563
311300,Sugar and Confectionery Product Manufacturing,-0.948
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing,-0.959
311500,Dairy Product Manufacturing,-0.728
311600,Animal Slaughtering and Processing,-1.93
311700,Seafood Product Preparation and Packaging,-1.419
311800,Bakeries and Tortilla Manufacturing,-0.872
311900,Other Food Manufacturing,-0.865
312100,Beverage Manufacturing,-0.786
312200,Tobacco Manufacturing,-0.59
313100,"Fiber, Yarn, and Thread Mills",-1.462
313200,Fabric Mills,-1.091
313300,Textile and Fabric Finishing and Fabric Coating Mills,-0.263
314100,Textile Furnishings Mills,-0.649
314900,Other Textile Product Mills,0.054
315100,Apparel Knitting Mills,-1.345
315200,Cut and Sew Apparel Manufacturing,0.083
315900,Apparel Accessories and Other Apparel Manufacturing,-0.06
316100,Leather and Hide Tanning and Finishing,-1.005
316200,Footwear Manufacturing,-0.368
316900,Other Leather and Allied Product Manufacturing,-0.306
321100,Sawmills and Wood Preservation,-1.016
321200,"Veneer, Plywood, and Engineered Wood Product Manufacturing",-0.807
321900,Other Wood Product Manufacturing,-0.886
322100,"Pulp, Paper, and Paperboard Mills",-0.613
322200,Converted Paper Product Manufacturing,-0.602
323100,Printing and Related Support Activities,0.251
324100,Petroleum and Coal Products Manufacturing,0.419
325400,Pharmaceutical and Medicine Manufacturing,0.82
326100,Plastics Product Manufacturing,-0.666
326200,Rubber Product Manufacturing,-0.899
327000,Nonmetallic Mineral Product Manufacturing,-0.458
331100,Iron and Steel Mills and Ferroalloy Manufacturing,-0.503
331200,Steel Product Manufacturing from Purchased Steel,-0.527
331300,Alumina and Aluminum Production and Processing,-0.648
331400,Nonferrous Metal (except Aluminum) Production and Processing,-0.339
331500,Foundries,-0.749
332700,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",-0.237
332800,"Coating, Engraving, Heat Treating, and Allied Activities",-0.645
333300,Commercial and Service Industry Machinery Manufacturing,0.758
333500,Metalworking Machinery Manufacturing,0.112
333600,"Engine, Turbine, and Power Transmission Equipment Manufacturing",0.687
334100,Computer and Peripheral Equipment Manufacturing,2.041
334200,Communications Equipment Manufacturing,1.608
334300,Audio and Video Equipment Manufacturing,1.496
334400,Semiconductor and Other Electronic Component Manufacturing,1.31
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",1.672
334600,Manufacturing and Reproducing Magnetic and Optical Media,0.238
335100,Electric Lighting Equipment Manufacturing,0.792
335200,Household Appliance Manufacturing,0.413
